hospital_id;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12;k13;k14;k15;k16;k17;k18;k19;k20;k21;k22;k23;k24;k25;k26;k27;k28;k29;k30;k31;k32;k33;k34;k35;k36;k37;k38;k39;k40;k41;k42;k43;k44;k45;k46;k47;k48;k49
1;1*;;;1*;;;1*;;;;;;;;;;;;;1*;;;;;;;;;;;1*;;1*;;;;;;;;;;;;;;;;
2;;;;;1*;1*;1*;1*;1*;1*;1*;1*;;;1*;;1*;1*;1*;1*;1*;1*;1*;;1*;;1*;;;1*;1*;1*;1*;1*;;1*;;1*;1*;;;;;;;;;;1*
3;1*;1*;;1*;1*;1*;1*;1*;;1*;;;;;1*;;1*;;;;1*;;;1*;1*;1*;1*;;;1*;1*;1*;1*;1*;;1*;1*;;;1*;1*;1*;;;;1*;;;
4;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*
5;;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;;1*;1*;;1*;1*;1*;1*;1*;;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*
6;;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*
7;;;1*;1*;1*;1*;1*;1*;;;;;;;;;1*;;1*;1*;1*;;;;;;1*;;1*;;;;1*;1*;;1*;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;;
8;;;1*;1*;;;1*;1*;1*;1*;;;;;;;1*;1*;1*;1*;1*;1*;1*;;1*;1*;;;1*;;;1*;1*;;;1*;1*;1*;1*;1*;;1*;;1*;1*;1*;1*;;
9;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*
10;;;1*;1*;1*;1*;1*;1*;1*;;;;;;1*;;1*;;;1*;1*;1*;;;1*;1*;1*;;1*;;1*;1*;1*;; ;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;;1*
11;;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;;1*;1*;;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;;1*
12;;;1*;1*;1*;1*;1*;1*;1*;;;;;;;;;;;1*;1*;;;;1*;;1*;;1*;;;;1*;1*;;1*;1*;1*;1*;1*;;1*;;1*;1*;1*;1*;;
13;;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;1*;;1*;1*;;1*;;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;;1*
14;;;;;;;;;;;;;;;1*;1*;1*;;;1*;1*;1*;;;1*;1*;1*;;1*;1*;1*;1*;1*;;;1*;1*;1*;1*;1*;1*;1*;;;;;;1*;1*
15;;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;;1*;1*;1*;1*;;1*;1*;1*;1*;;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;;1*;;;1*
16;;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;;1*;1*;1*;1*;;1*;1*;1*;1*;;;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;;1*
17;;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;;;1*;1*;1*;;;1*;1*;1*;;;1*;1*;1*;;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;;1*;1*;1*;1*;;
18;;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;;
19;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;1*;1*;1*;1*;;
20;;1*;1*;1*;1*;1*;1*;1*;1*;;;;;;1*;;1*;;;1*;1*;1*;;;1*;1*;1*;;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;1*;;;;1*;1*;1*;;;
