hospital_id;Hospital/Clinica;ciudad;direccion;lat;lng
1;Hospital Clínica Kennedy (Policentro);Guayaquil;Av. del Periodista y Calle San Jorge;-21.764;-798.973
2;Hospital Alcívar;Guayaquil;Coronel 2301 entre Cañar y Azuay;-22.131;-798.911
3;Omni Hospital;Guayaquil;Av. Juan Tanca Marengo y Abel Romero Castillo;-21.587;-798.924
4;Hospital Luis Vernaza;Guayaquil;Loja y Escobedo (Cerro Carmen);-21.844;-798.795
5;Hospital Teodoro Maldonado Carbo (IESS);Guayaquil;Av. 25 de Julio y Pío Jaramillo;-22.346;-799.015
6;Hospital de Especialidades Abel Gilbert;Guayaquil;Calle 29 y Galápagos;-22.031;-799.197
7;Hospital Clínica Panamericana;Guayaquil;Panamá 616 y Roca;-21.882;-798.794
8;Hospital Roberto Gilbert (Niños);Guayaquil;Av. Roberto Gilbert y Av. de la Democracia;-21.772;-798.864
9;Hospital Clínica Kennedy (Alborada);Guayaquil;Rodolfo Baquerizo Nazur y Crotos;-21.388;-799.012
10;Clínica San Francisco;Guayaquil;Cdla. Kennedy Norte, Av. Francisco de Orellana;-21.594;-798.942
11;Hospital General Guasmo Sur;Guayaquil;Av. Cacique Tomalá y Callejón Eloy Alfaro;-22.575;-798.978
12;Hospital Universitario de Guayaquil;Guayaquil;Av. Perimetral Km 23;-20.864;-799.392
13;Hospital de Los Ceibos (IESS);Guayaquil;Av. del Bombero y Av. Carlos J. Arosemena;-21.706;-799.348
14;Hospital SOLCA;Guayaquil;Av. Pedro Menéndez Gilbert;-21.744;-798.821
15;Clínica Milenium;Guayaquil;Av. San Jorge 206 y calle 2da;-21.749;-798.981
16;Hospital Clínica Kennedy (Samborondón)*;Guayaquil;Km 2.5 Vía a la Puntilla;-21.375;-798.669
17;Hospital León Becerra;Guayaquil;Eloy Alfaro 2402 y Bolivia;-22.154;-798.856
18;Hospital Alfredo Paulson (Mujer);Guayaquil;Av. Roberto Gilbert y Av. de la Democracia;-21.768;-798.858
19;Clínica Guayaquil;Guayaquil;Padre Aguirre 401 y General Córdova;-21.868;-798.787
20;APROFE (Hospital Dr. Paolo Marangoni);Guayaquil;Noguchi 1516 y Letamendi;-22.031;-798.887
;;;;;
;;;;;
