Nombre;Direccion;Provincia;CAN_DESCRIPCION;Parroquia;Nivel;TUN_DESCRIPCION;Institucion;x;y;servicios;planes_aceptados;costo_consulta
MARIUXI FEBRES CORDERO;COOP MARIUXI FEBRES CORDERO GUASMO SUR SOLAR 1 MZ 1701 CERCA DE LA ESCUELA MARTHA DE BUCARAN;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,88993021;-2,275193108;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);29
GUASMO SUR;COOP GUAYAS Y QUIL 2 GUASMO SUR SOLAR 1 MZ 2391 FRENTE A LAS ESCUELA GUASYAS Y QUIL;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,88321966;-2,278380942;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);34
FLORIDA;GUASMO SUR COOP FLORIDA 2 SOLAR 11 MZ 1081 PARQUE DE LA FLORIDA;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,88726599;-2,280359583;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);39
GUASMO CENTRAL;COOP UNION DE BANANEROS GUASMO SUR SOLAR 2 MZ2711 FRENTE A LA ESCUELA PROVINCIA DE MANABI;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,8821671;-2,26732659;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);25
CASITAS DEL GUASMO;COOP CASITAS DEL GUASMO MZ.20 S.5- CALLE PRINCIPAL HUGO CORTEZ CADENA Y CALLE 2DA AV BARCELONA - FRENTE A LA ESCUELA NELSON MATHEUS;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,88319034;-2,246179127;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);37
25 DE ENERO;COOP. 25 DE ENERO SOLAR 18 MZ 96;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,8755772;-2,255819489;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);29
FLORESTA;FLORESTA 1 AV. ROBERTO SERRANO SOLAR 12 JUNTO A ALMACENES TIA;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,88538011;-2,251779945;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);44
PABLO NERUDA;GUASMO SUR SOLAR 1 MZ 4014 JUNTO AL PAI;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,8740942;-2,264823763;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);38
UNION DE BANANEROS;COOP GUASMO SUR CARLOS CASTRO 2 SOLAR 3 MZ 26 JUNTO AL AIGLESIA NUEVA JERUSALEN;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,88515384;-2,261483312;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
CENTRO DE SALUD TRINITARIA;ISLA TRINITARIA COOP. POLO SUR MANZANA 75 SOLAR 01;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD B;MSP;-79,91966599;-2,240336136;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);25
CAMINO AL SOL [24H];ISLA TRINITARIA COOP.CAMINO AL SOL MANZANA 37 SOLAR 25;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD B;MSP;-79,91605534;-2,238889893;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);34
FERTISA;GUASMO OESTE COOP.SANTIAGO DE ROLDOS MANZANA 1360 SOLAR 1;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD B;MSP;-79,90109872;-2,256945501;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);42
GUASMO OESTE MANGLAR;GUASMO OESTE COOP.SANTIAGUITO DE ROLDOS MANZANA 1294 SOLAR 26;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,91143568;-2,250325317;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);42
RUMIÑAHUI;GUASMO OESTE COOP.RUMIÑAHUI MANZANA 3822 SOLAR 01;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,90829661;-2,238759752;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);39
CENTRO DE SALUD TRINITARIA 1;ISLA TRINITARIA COOP.SAN CRISTOBAL MANZANA 543 SOLAR 14;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,92858527;-2,241392011;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
CENTRO DE SALUD TRINITARIA 2;ISLA TRINITARIA COOP. INDEPENDENCIA MANZANA 255 SOLAR 9;GUAYAS;GUAYAQUIL;XIMENA;NIVEL 1;CENTRO DE SALUD A;MSP;-79,91947763;-2,233303365;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);32
COLMENA;LA 17 AVA 120 Y Y LA P;GUAYAS;GUAYAQUIL;FEBRES CORDERO;NIVEL 1;CENTRO DE SALUD B;MSP;-79,92719785;-2,230384148;Medicina General, Vacunación, Farmacia, Odontología Preventiva;Público (Gratuito para afiliados MSP);30
