plan_id;aseguradora_id;nombre_plan;limite_anual;deducible_base;tipo_red;
101;1;Star 15k;$15.000;$70;Cerrada (Red Star);
102;1;Star 30k;$30.000;$90;Cerrada (Red Star);
103;1;Sky 50k;$50.000;$100;Mixta (Red Sky + Libre);
104;1;Sky 70k;$70.000;$100;Mixta (Red Sky + Libre);
105;1;Pro 150k;$150.000;$150;Abierta (Red Pro + Libre);
106;1;Pro 500k;$500.000;$200;Abierta (Red Pro + Libre);
107;1;Práctico 3D;$30.000;$90;Mixta;
201;2;Innova;$120.000;$150 - $250;Abierta (Crédito Directo);
202;2;Sigma;$150.000;$150 - $250;Abierta (Crédito Directo);
203;2;Gastos Médicos Mayores;$500.000;500;Abierta;
204;2;Serie 3000;500000 a 5M;$500 - $10,000;Mundial / Libre Elección;
301;3;Practihumana 15;$15;50;Cerrada/Mixta (Red Practi);
302;3;Practihumana 30;$30;90;Cerrada/Mixta (Red Practi);
303;3;Metrohumana 50;$50;80;Mixta (Red Metro);
304;3;Metrohumana 100;$100;150;Mixta (Red Metro);
305;3;Metrohumana 150;$150;150;Mixta (Red Metro);
306;3;Plan Proteger;$500;$5k - $20k;Enfermedades Graves;
401;4;Total Básico;$8;$0 - $50;Mixta (Niveles 1-2);
402;4;Total Clásico;$15;80;Mixta (Niveles 1-3);
403;4;Total Especial;$25;100;Mixta (Niveles 1-4);
404;4;Elegir Óptimo;$35;100;Libre Elección;
405;4;Elegir Plus;$100;150;Libre Elección;
406;4;Asistencia Médica Integral;$12;50;Mixta (Red BDA/Propia);
407;4;Joy (Dental);Especialidad;0;Cerrada;
501;5;Confiplus 10k;$10;$0 - $70;Mixta (Confired 1 o 2);
502;5;Confiplus 30k;$30;90;Mixta (Red Uno Top / Red 2);
503;5;Confiplus 60k;$60;150;Mixta (Red Uno Top / Red 2);
504;5;Confiplus 110k;$110;250;Mixta (Red Uno Top / Red 2);
505;5;Plan GMM 500k;$500;$250 - $2,000;Abierta (Crédito Directo);
506;5;Plan Visiona 30k;$30;100;Mixta (Enfoque Digital);
507;5;Plan Masivo (Ideal);$12;0;Cerrada (Red Seleccionada);
601;6;Asispro 20;$20;90;Mixta (Red Estándar/Élite);
602;6;Asispro 30;$30;90;Mixta;
603;6;Curae Plenus;$40;100;Mixta (Enfoque Kennedy);
604;6;Curae Summa;$70;$120 - $2,000;Mixta (Red Especial);
605;6;Asiskare 500;$500;$2,500 - $20,000;Abierta (Gastos Mayores);
606;6;Pool 1 / Pool 3;$7k - $50k;$100 - $150;Corporativo / Colectivo;
607;6;Epsilon;Variable;Variable;Mixta;
701;7;Medical Elite™;$2,000,000;$500 - $5,000;Libre Elección Mundial;
702;7;Premier Plus™;$1,500,000;$500 - $5,000;Libre Elección Mundial;
703;7;Ultimate Care™;$1,000,000;$500 - $2,000;Libre Elección (Red USA);
704;7;Global Care™ Pro;$500;$250 - $1,000;Libre Elección Mundial;
705;7;Medical Select™;$500;$500 - $1,000;Mixta (Red Select);
706;7;EasyCare™;$250;250;Mixta (Local);
707;7;My Choice™;$3,000,000;$500 - $10,000;Libre Elección (Hosp.);
801;8;Silver;$20;100;Mixta;
802;8;Gold;$50;150;Mixta;
803;8;Platinum;$150;200;Mixta;
804;8;Senior;$30;150;Mixta (Enfoque +65);
901;9;Gold PYME;US$ 20,000.00;100;Mixta;
902;9;Silver PYME;US$ 6,000.00;150;Mixta;
903;9;Gold Individual;US$ 75,000.00;200;Libre Elección;
904;9;Silver Individual;US$ 25,000.00 / US$ 50,000.00;150;Libre Elección;
1001;10;Top Junior;$20;$80;Mixta;
1002;10;Top Premium;$30;$100;Mixta;
1003;10;Top Senior;$45;$120;Mixta;
1004;10;Top Máster;$75;$150;Mixta;
1005;10;Top Supremo;$100;$200;Mixta;
1006;10;Grupal;$20;$100;Colectivo;
1101;11;Vida Saludable (Plan 50);$50;$150;Mixta;
1102;11;Vida Saludable (Plan 100);$100;$200;Mixta;
1103;11;GMM (Gastos Médicos Mayores);$500;$500 a $5,000;Abierta;
1104;11;EquiSalud Gold;$150;$150;Libre Elección;
1105;11;EquiSalud Plus;$80;$100;Mixta;
1106;11;Plan Mi Médico (Local);$15;$50;Cerrada;
